date,room_available,room_booked,is_weekend,room_price,competiter_price
2024-03-19,100,88,False,2232,3350
2024-03-20,100,82,False,2011,2765
2024-03-21,100,83,False,2838,2903
2024-03-22,100,52,False,2388,3308
2024-03-23,100,64,True,2530,2212
2024-03-24,100,75,True,3221,2090
2024-03-25,100,56,False,3475,1983
2024-03-26,100,40,False,2294,3017
2024-03-27,100,58,False,3383,2961
2024-03-28,100,71,False,2139,2837
2024-03-29,100,59,False,2499,2792
2024-03-30,100,48,True,2763,2272
2024-03-31,100,85,True,2394,3397
2024-04-01,100,62,False,2762,3527
2024-04-02,100,85,False,2880,2728
2024-04-03,100,47,False,2773,2917
2024-04-04,100,88,False,3202,2252
2024-04-05,100,56,False,3414,2594
2024-04-06,100,40,True,3479,2424
2024-04-07,100,46,True,3320,3397
2024-04-08,100,92,False,3139,2979
2024-04-09,100,84,False,2562,2237
2024-04-10,100,41,False,3192,3427
2024-04-11,100,81,False,2540,3025
2024-04-12,100,41,False,3481,3304
2024-04-13,100,54,True,3254,2281
2024-04-14,100,76,True,3331,3485
2024-04-15,100,88,False,3039,3571
2024-04-16,100,83,False,2232,2681
2024-04-17,100,77,False,2205,2522
2024-04-18,100,64,False,2790,2120
2024-04-19,100,78,False,2756,2198
2024-04-20,100,55,True,3381,3409
2024-04-21,100,65,True,2386,2905
2024-04-22,100,73,False,2670,2185
2024-04-23,100,67,False,2921,2627
2024-04-24,100,67,False,2753,2124
2024-04-25,100,90,False,3061,2463
2024-04-26,100,79,False,2821,2610
2024-04-27,100,54,True,3260,3594
2024-04-28,100,82,True,3010,3171
2024-04-29,100,64,False,2141,3374
2024-04-30,100,51,False,2635,2311
2024-05-01,100,88,False,3447,2087
2024-05-02,100,62,False,3044,2549
2024-05-03,100,57,False,2725,2600
2024-05-04,100,82,True,2731,2459
2024-05-05,100,75,True,3132,3443
2024-05-06,100,60,False,3149,3009
2024-05-07,100,50,False,3019,1988
2024-05-08,100,89,False,2060,3036
2024-05-09,100,52,False,3190,2187
2024-05-10,100,55,False,2872,3224
2024-05-11,100,60,True,2047,2205
2024-05-12,100,50,True,2834,2350
2024-05-13,100,67,False,2844,2097
2024-05-14,100,91,False,2158,3217
2024-05-15,100,55,False,3310,2634
2024-05-16,100,64,False,2852,3540
2024-05-17,100,54,False,2770,2475
2024-05-18,100,62,True,2731,2116
2024-05-19,100,49,True,2143,1928
2024-05-20,100,65,False,3106,3157
2024-05-21,100,82,False,3270,2947
2024-05-22,100,89,False,2792,2022
2024-05-23,100,68,False,2923,2222
2024-05-24,100,84,False,3156,2794
2024-05-25,100,53,True,3136,2373
2024-05-26,100,58,True,2087,2130
2024-05-27,100,82,False,2392,2174
2024-05-28,100,76,False,2548,3480
2024-05-29,100,55,False,3414,2267
2024-05-30,100,90,False,2494,2823
2024-05-31,100,91,False,2267,2625
2024-06-01,100,83,True,2179,2869
2024-06-02,100,52,True,2024,1925
2024-06-03,100,64,False,2875,2106
2024-06-04,100,46,False,2861,2907
2024-06-05,100,93,False,3393,2293
2024-06-06,100,59,False,2056,2577
2024-06-07,100,84,False,2851,2084
2024-06-08,100,77,True,3224,2425
2024-06-09,100,51,True,3235,3531
2024-06-10,100,93,False,2746,2066
2024-06-11,100,50,False,2880,2399
2024-06-12,100,50,False,3011,3552
2024-06-13,100,87,False,2914,3030
2024-06-14,100,76,False,2210,3456
2024-06-15,100,54,True,2909,3487
2024-06-16,100,58,True,2827,3347
2024-06-17,100,55,False,3204,3050
2024-06-18,100,63,False,3437,2635
2024-06-19,100,71,False,3325,3159
2024-06-20,100,54,False,2501,2713
2024-06-21,100,74,False,2899,2222
2024-06-22,100,48,True,2025,2946
2024-06-23,100,46,True,2412,2523
2024-06-24,100,41,False,2072,3471
2024-06-25,100,47,False,3231,2337
2024-06-26,100,46,False,2507,1967
2024-06-27,100,61,False,3473,2803
2024-06-28,100,93,False,2194,2791
2024-06-29,100,66,True,2853,2107
2024-06-30,100,88,True,3048,3366
2024-07-01,100,42,False,2686,3002
2024-07-02,100,51,False,2562,2027
2024-07-03,100,91,False,2218,3464
2024-07-04,100,58,False,2969,3213
2024-07-05,100,46,False,3089,1924
2024-07-06,100,43,True,2235,3152
2024-07-07,100,44,True,2079,2560
2024-07-08,100,42,False,2075,2095
2024-07-09,100,86,False,2196,2810
2024-07-10,100,57,False,3160,2807
2024-07-11,100,71,False,2330,3232
2024-07-12,100,48,False,3185,3565
2024-07-13,100,94,True,3009,2896
2024-07-14,100,65,True,3054,3284
2024-07-15,100,94,False,3238,2722
2024-07-16,100,54,False,3325,2904
2024-07-17,100,69,False,2116,2215
2024-07-18,100,66,False,2719,2426
